ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
,,,,,,,,,,,,,,,,,
q301a1,1,,Yes,?,,,,,,,,,,,,,
q301a1,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a1b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a1b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a1b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a1b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a2,1,,Yes,?,,,,,,,,,,,,,
q301a2,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a2b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a2b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a2b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a2b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a3,1,,Yes,?,,,,,,,,,,,,,
q301a3,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a3b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a3b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a3b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
